City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,bereda,-7.5406,43.2686,12.3,100,100,2.47,ES,1674251573
276,fairbanks,-147.7164,64.8378,-15.22,79,75,1.54,US,1674251574
277,samarai,150.6667,-10.6167,27.52,77,100,3.08,PG,1674251574
278,dhidhdhoo,73.1,6.8833,25.61,68,0,1.87,MV,1674251574
279,steamboat springs,-106.8317,40.485,-0.55,67,100,2.57,US,1674251439
280,coahuayana,-103.6833,18.7333,27.64,56,95,2.93,MX,1674251575
281,hamilton,-84.5333,39.1834,2.55,73,100,4.63,US,1674251527
282,belle fourche,-103.8522,44.6714,5.83,46,61,4.26,US,1674251576
283,galle,80.217,6.0367,24.53,77,97,0.23,LK,1674251576
284,sur,59.5289,22.5667,19.58,53,1,5.1,OM,1674251577
285,axim,-2.2405,4.8699,26.79,83,100,3.7,GH,1674251577
286,toppenish,-120.3087,46.3774,7.62,50,47,0.14,US,1674251577
287,ishigaki,124.1572,24.3448,18.07,77,100,6.69,JP,1674251304
288,margate,1.3862,51.3813,5.94,83,39,3.13,GB,1674251578
289,talara,-81.2719,-4.5772,29.42,51,0,5.14,PE,1674251283
290,karratha,116.8463,-20.7377,26.93,79,29,0.84,AU,1674251579
291,new glasgow,-62.6486,45.5834,-0.12,96,100,6.98,CA,1674251580
292,jabinyanah,10.9081,35.035,12.89,59,59,9.79,TN,1674251580
293,thunder bay,-89.3168,48.4001,-7.01,63,75,5.14,CA,1674251490
294,asfi,-9.2372,32.2994,13.05,83,0,6.6,MA,1674251581
295,daru,143.2092,-9.0763,25.51,86,91,4.79,PG,1674251581
296,tinskoy,96.9161,56.1525,-41.71,99,37,1.19,RU,1674251582
297,muravlenko,74.523,63.7898,-21.29,91,100,8.39,RU,1674251583
298,bilma,12.9164,18.6853,17.77,13,0,4.17,NE,1674251583
299,mercedes,-59.4307,-34.6515,21.64,90,100,6.95,AR,1674251584
300,mizan teferi,35.5833,6.9833,18.81,56,70,1.16,ET,1674251584
301,igarka,86.5833,67.4667,-40.53,94,31,2.28,RU,1674251585
302,port macquarie,152.9167,-31.4333,22.16,56,89,2.54,AU,1674251585
303,sale,-6.8166,34.0389,14.3,100,40,0.0,MA,1674251465
304,novoagansk,76.6625,61.9449,-29.6,91,95,4.46,RU,1674251586
305,bure,37.0667,10.7,16.55,37,81,3.97,ET,1674251587
306,dimapur,93.7333,25.9,10.69,63,0,0.39,IN,1674251587
307,isangel,169.2667,-19.55,27.37,72,100,4.17,VU,1674251567
308,ust-kuyga,135.6,70.0167,-43.1,100,100,1.38,RU,1674251588
309,gogrial,28.1004,8.5332,25.95,23,66,2.47,SS,1674251588
310,sibolga,98.7792,1.7427,23.4,90,97,1.61,ID,1674251589
311,bata,9.7658,1.8639,26.58,82,98,3.47,GQ,1674251589
312,tessalit,1.0114,20.1986,21.05,14,25,1.93,ML,1674251590
313,cotonou,2.4183,6.3654,28.99,79,100,5.66,BJ,1674251590
314,linxia,103.2064,35.6003,-8.88,81,100,0.68,CN,1674251591
315,camocim,-40.8411,-2.9022,25.4,83,100,4.44,BR,1674251592
316,horni plana,14.0326,48.7674,-0.47,87,100,1.92,CZ,1674251593
317,ilulissat,-51.1,69.2167,-25.68,98,100,2.66,GL,1674251594
318,oranjemund,16.4333,-28.55,17.74,92,25,3.11,NA,1674251594
319,canutama,-64.3831,-6.5339,22.04,98,100,0.92,BR,1674251595
320,omboue,9.2618,-1.5746,25.58,85,100,2.65,GA,1674251596
321,shache,77.2406,38.4167,-17.94,98,24,1.15,CN,1674251596
322,itoman,127.6694,26.1247,15.01,68,75,3.09,JP,1674251597
323,hirara,125.2833,24.8,18.15,68,75,5.14,JP,1674251597
324,ballymena,-6.2763,54.8636,2.29,89,42,2.78,GB,1674251598
325,longyearbyen,15.6401,78.2186,-2.09,86,100,3.09,SJ,1674251598
326,upernavik,-56.1549,72.7868,-29.57,94,100,0.89,GL,1674251600
327,alofi,-169.9187,-19.0595,28.94,74,75,5.66,NU,1674251600
328,broken hill,141.4333,-31.95,20.29,38,87,7.07,AU,1674251601
329,tshane,21.8684,-24.0196,25.13,42,71,2.37,BW,1674251601
